Subject,Start Date,End Date,All Day Event
在学生ガイダンス,3/31/14,,True
春期休業,4/1/14,4/2/14,True
入学式、新入生ガイダンス,4/3/14,,True
新入生ガイダンス、避難訓練,4/4/14,,True
新入生健康診断,4/7/14,,True
留学生ガイダンス,4/8/14,,True
授業開始(セメスタ、第1クオーター),4/9/14,,True
履修登録,4/16/14,4/22/14,True
履修登録確認・修正,4/23/14,,True
★祝日授業開講,4/29/14,,True
臨時休業日,4/30/14,,True
創立記念日(休業日),5/1/14,,True
臨時休業日,5/2/14,,True
授業終了(第1クオーター),6/10/14,,True
授業開始(第2クオーター),6/11/14,,True
★授業開講予備日(自然災害等で休講となった場合の振替日),7/12/14,,True
★補講,7/19/14,,True
★振替授業,7/30/14,,True
授業終了(セメスター),7/30/14,,True
前期末試験,7/31/14,8/8/14,True
授業終了(第2クオーター),8/6/14,,True
夏期休業,8/9/14,9/18/14,True
就職関連行事(修士1年生),9/19/14,,True
授業開始(セメスター、第3クオーター),9/22/14,,True
★祝日授業開講,9/23/14,,True
履修登録,9/29/14,10/2/14,True
履修登録確認・修正,10/3/14,,True
紅華祭,10/12/14,,True
(紅華祭に伴う休講:準備および後片付けのため、全学部・全学年の開講科目について、,10/11/14,,True
★祝日授業開講,11/3/14,,True
授業終了(第3クオーター),11/18/14,,True
授業開始(第4クオーター),11/19/14,,True
★祝日授業開講,11/24/14,,True
補講,12/20/14,1/10/14,True
冬期休業,12/23/14,1/4/14,True
授業終了(セメスター),1/20/15,,True
授業開講予備日(自然災害等で休講となった場合の振替日),1/21/15,,True
後期末試験,1/22/15,1/30/15,True
授業終了(第4クオーター),1/28/15,,True
学位記授与式,3/20/15,,True
在学生ガイダンス,3/30/15,,True
