Subject,Start Date,End Date,All Day Event
(編入生(新入生)ガイダンス),3/25/14,,True
(BS学部在学生ガイダンス、健康診断),3/26/14,,True
(CS学部在学生ガイダンス、健康診断),3/27/14,,True
(MS学部在学生ガイダンス、健康診断),3/28/14,,True
"就職関連行事(新3年生),アドバイザー面談(新2,3年生)",3/31/14,,True
入学式、新入生ガイダンス,4/3/14,,True
新入生・編入生ガイダンス、プレースメントテスト,4/4/14,,True
新入生・編入生ガイダンス、健康診断,4/5/14,,True
ノートパソコン受け渡しガイダンス、健康診断、留学生ガイダンス,4/7/14,,True
ノートパソコンセットアップガイダンス、留学生ガイダンス,4/8/14,,True
授業開始,4/9/14,,True
履修登録,4/16/14,4/22/14,True
履修登録確認・修正,4/23/14,,True
★祝日授業開講,4/29/14,,True
臨時休業日,4/30/14,,True
創立記念日(休業日),5/1/14,,True
臨時休業日,5/2/14,,True
春期保護者懇談会,5/17/14,,True
スポーツ大会,5/24/14,,True
授業開講予備日(自然災害等で休講となった場合の振替日),7/12/14,,True
★補講,7/19/14,,True
★振替授業,7/30/14,,True
授業終了,7/30/14,,True
前期末試験,7/31/14,8/8/14,True
夏期休業,8/9/14,9/18/14,True
就職関連行事(新3年生),9/19/14,,True
授業開始,9/22/14,,True
★祝日授業開講,9/23/14,,True
履修登録,9/29/14,10/2/14,True
履修登録確認・修正,10/3/14,,True
紅華祭,10/12/14,,True
(紅華祭に伴う休講:準備および後片付けのため、全学部・全学年の開講科目について、,10/11/14,,True
秋期保護者懇談会,10/12/14,,True
★祝日授業開講,11/3/14,,True
★祝日授業開講,11/24/14,,True
★AO入試合格者入学前準備ガイダンス,11/29/14,,True
★指定校推薦合格者入学前準備ガイダンス,12/14/14,,True
補講,12/20/14,1/10/14,True
冬期休業,12/23/14,1/4/14,True
授業終了,1/20/15,,True
授業開講予備日(自然災害等で休講となった場合の振替日),1/21/15,,True
後期末試験,1/22/15,1/30/15,True
学位記授与式,3/20/15,,True
編入生(新入生)ガイダンス,3/24/15,,True
在学生ガイダンス、健康診断,3/25/15,3/27/15,True
